
---------- Begin Simulation Statistics ----------
simSeconds                                   0.021399                       # Number of seconds simulated (Second)
simTicks                                  21399127000                       # Number of ticks simulated (Tick)
finalTick                                 21399127000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    139.46                       # Real time elapsed on the host (Second)
hostTickRate                                153441104                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8529652                       # Number of bytes of host memory used (Byte)
simInsts                                     19741461                       # Number of instructions simulated (Count)
simOps                                       36627664                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   141555                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     262636                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         21399128                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.083969                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.922536                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        36765429                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      247                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       66487721                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7467                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               138006                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            237964                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  94                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            21295129                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.122203                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.496726                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5060971     23.77%     23.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2456877     11.54%     35.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1940887      9.11%     44.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1808871      8.49%     52.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2721413     12.78%     65.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2935660     13.79%     79.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2133792     10.02%     89.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1537511      7.22%     96.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    699147      3.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              21295129                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   17047      0.29%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.29% # attempts to use FU when none available (Count)
